regime,model_name,n_folds,wape_mean,wbias_mean
regime_change_period,Baseline_MMM_Reg,2,0.6799999947887796,-0.48499999496046464
regime_change_period,MMM_BSTS_DDA,2,0.1699998609131892,-0.015000294582576033
regime_change_period,MMM_BSTS_Heuristic,2,0.19999992868661076,-0.03500020802540102
regime_change_period,MMM_Bayesian_DDA,2,0.20000018197260816,-0.06499999467446553
regime_change_period,MMM_Bayesian_Heuristic,2,0.23500032079328437,-0.09000039366420898
stable_period,Baseline_MMM_Reg,2,0.5350001327597177,0.3400001702558999
stable_period,MMM_BSTS_DDA,2,0.13000004225878564,0.014999756567914779
stable_period,MMM_BSTS_Heuristic,2,0.16000024325476742,0.024999782978130936
stable_period,MMM_Bayesian_DDA,2,0.14999993052991029,0.04499977990059904
stable_period,MMM_Bayesian_Heuristic,2,0.18000009627384495,0.06000013297675673
