fold_id,model_name,wape,wbias
fold_1,Baseline_MMM_Reg,0.5500002180513838,0.38000038158992167
fold_2,Baseline_MMM_Reg,0.5200000474680516,0.2999999589218782
fold_3,Baseline_MMM_Reg,0.6399999750615435,-0.42000000311730706
fold_4,Baseline_MMM_Reg,0.7200000145160156,-0.5499999868036222
fold_1,MMM_BSTS_DDA,0.13999997158674585,0.01999976176579195
fold_2,MMM_BSTS_DDA,0.12000011293082542,0.00999975137003761
fold_3,MMM_BSTS_DDA,0.15999982785107472,-0.02000049688439789
fold_4,MMM_BSTS_DDA,0.1799998939753037,-0.010000092280754175
fold_1,MMM_BSTS_Heuristic,0.1700003493251618,0.029999913490006944
fold_2,MMM_BSTS_Heuristic,0.150000137184373,0.019999652466254923
fold_3,MMM_BSTS_Heuristic,0.18999994543752477,-0.0300001636874256
fold_4,MMM_BSTS_Heuristic,0.20999991193569675,-0.04000025236337645
fold_1,MMM_Bayesian_DDA,0.16000001735386343,0.04999973426896688
fold_2,MMM_Bayesian_DDA,0.1399998437059571,0.0399998255322312
fold_3,MMM_Bayesian_DDA,0.18000048740521707,-0.06000000773659075
fold_4,MMM_Bayesian_DDA,0.21999987653999928,-0.0699999816123403
fold_1,MMM_Bayesian_Heuristic,0.18999998345637195,0.07000044667795677
fold_2,MMM_Bayesian_Heuristic,0.17000020909131794,0.04999981927555669
fold_3,MMM_Bayesian_Heuristic,0.22000041096515868,-0.08000041174497874
fold_4,MMM_Bayesian_Heuristic,0.2500002306214101,-0.10000037558343922
